text,label
"Breaking: Scientists confirm water found on Mars",0
"Shocking! Aliens have landed in New York City",1
"Government announces new education policy reforms",0
"Celebrity claims drinking bleach cures all diseases",1
"Stock markets show steady growth this quarter",0
"Man says he time-traveled to the future and back",1
"New technology promises faster internet speeds",0
"Fake cure for cancer spreads on social media",1
"Local elections see record voter turnout",0
"Secret society controls the world economy, expert says",1
